chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
,,180804,0,0,0,0,0,2,0.0,,0,Axel,0.0,307,False,,,45.2,180804.jpg,1.4,Tuanzebe,0.1,False,,a,13,1,7,0,0,0,0,0.0,1.6,Tuanzebe,187,0,0,0,3,0,0,0,0,0,0,0,30,17.6,6.2,0.0,2.4,360.0,133.0,342.0,126.0,407.0,161.0,369.0,135.0
,,184667,0,0,0,0,0,2,0.0,,0,Victor,0.0,308,False,,,50.3,184667.jpg,3.3,Lindelöf,2.1,False,,a,13,1,116,0,0,0,0,0.0,23.2,Lindelöf,3092,1,0,12,32,1,0,0,6,0,0,9,618,554.0,73.6,79.0,70.7,91.0,36.0,251.0,81.0,258.0,84.0,197.0,57.0
,,195851,0,0,0,0,0,3,0.0,,0,Scott,0.0,309,False,,,50.1,195851.jpg,2.7,McTominay,0.4,False,,a,13,1,74,0,0,0,0,0.0,14.8,McTominay,1765,3,2,3,20,0,0,0,2,0,0,6,310,415.6,238.4,310.0,96.4,156.0,63.0,151.0,98.0,113.0,63.0,144.0,77.0
,,197365,0,0,0,0,0,2,0.0,,0,Eric,0.0,310,False,,,50.4,197365.jpg,2.2,Bailly,0.3,False,,a,13,1,9,0,0,0,0,0.0,1.8,Bailly,148,0,0,1,1,0,0,0,0,0,0,0,40,32.0,1.0,0.0,3.3,348.0,128.0,358.0,136.0,463.0,176.0,361.0,130.0
,,200617,0,0,0,0,0,3,0.0,,0,Daniel,0.0,311,False,,,65.4,200617.jpg,2.9,James,0.4,False,,a,13,1,95,0,0,0,0,0.0,14.6,James,2281,3,6,7,29,0,0,0,4,0,0,2,308,415.2,428.1,622.0,146.0,157.0,64.0,79.0,56.0,50.0,27.0,64.0,38.0
,,201084,0,0,0,0,0,2,0.0,,0,Timothy,0.0,312,False,,,45.6,201084.jpg,2.3,Fosu-Mensah,0.1,False,,a,13,1,7,0,0,0,0,0.0,1.6,Fosu-Mensah,136,0,0,1,1,0,0,0,1,0,0,0,27,12.0,28.6,6.0,4.2,366.0,134.0,311.0,113.0,327.0,123.0,358.0,128.0
,,214590,0,0,0,0,0,2,0.0,,0,Aaron,0.0,313,False,,,56.19999999999999,214590.jpg,3.6,Wan-Bissaka,13.7,False,,a,13,1,127,0,0,0,0,0.0,23.1,Wan-Bissaka,3070,0,4,12,33,0,0,0,8,0,0,16,659,749.2,443.3,133.0,132.8,38.0,12.0,70.0,12.0,210.0,56.0,80.0,14.0
,,216051,0,0,0,0,0,2,0.0,,0,José Diogo,0.0,314,False,,,50.2,216051.jpg,1.0,Dalot Teixeira,0.1,False,,a,13,1,4,0,0,0,0,0.0,0.8,Dalot,65,0,0,0,1,0,0,0,0,0,0,0,10,10.4,4.3,6.0,1.9,367.0,135.0,344.0,128.0,330.0,125.0,370.0,136.0
,,220688,0,0,0,0,0,3,0.0,,0,Mason,0.0,315,False,,,75.3,220688.jpg,3.3,Greenwood,12.7,False,,a,13,1,103,0,0,0,0,0.0,13.7,Greenwood,1303,10,1,6,13,0,0,0,0,0,0,17,430,449.6,222.7,502.0,117.0,137.0,53.0,158.0,104.0,65.0,34.0,101.0,60.0
0.0,,222677,0,0,0,0,0,3,0.0,,0,Tahith,0.0,316,False,Joined Werder Bremen on loan until the end of the season on 16/8. - Expected back 01 Jul,2020-08-16T23:30:07.140253Z,46.5,222677.jpg,1.0,Chong,0.0,False,,n,13,1,3,0,0,0,0,0.0,0.7,Chong,34,0,0,0,0,0,0,0,0,0,0,0,6,1.4,1.1,6.0,0.7,379.0,163.0,357.0,163.0,328.0,154.0,377.0,161.0
,,232928,0,0,0,0,0,3,0.0,,0,James,0.0,317,False,,,45.4,232928.jpg,1.0,Garner,0.1,False,,a,13,1,1,0,0,0,0,0.0,0.2,Garner,8,0,0,0,1,0,0,0,0,0,0,0,3,2.2,2.8,0.0,0.5,376.0,161.0,346.0,159.0,424.0,170.0,378.0,162.0
,,232937,0,0,0,0,0,2,0.0,,0,Brandon,0.0,318,False,,,45.599999999999994,232937.jpg,3.0,Williams,2.5,False,,a,13,1,51,0,0,0,0,0.0,11.3,Williams,1003,1,1,5,11,0,0,0,6,0,0,3,228,200.0,191.2,100.0,49.2,267.0,100.0,173.0,39.0,238.0,72.0,261.0,85.0
,,244856,0,0,0,0,0,2,0.0,,0,Teden,0.0,319,False,,,40.3,244856.jpg,0.0,Mengi,0.7,False,,a,13,1,0,0,0,0,0,0.0,0.0,Mengi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,394.0,144.0,376.0,144.0,356.0,138.0,394.0,144.0
,,180184,0,0,0,0,0,3,0.0,,0,Donny,0.0,495,False,,,70.39999999999999,180184.jpg,0.0,van de Beek,2.5,False,,a,13,1,0,0,0,0,0,0.0,0.0,van de Beek,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,499.0,206.0,499.0,206.0,499.0,206.0,499.0,206.0
,,40142,0,0,0,0,0,4,1.5,,0,Andy,0.0,320,False,,,56.499999999999986,40142.jpg,1.8,Carroll,0.4,False,,a,14,4,34,0,0,0,0,0.0,6.2,Carroll,617,0,4,2,10,0,0,0,1,0,0,0,87,136.6,162.0,211.0,51.1,296.0,37.0,193.0,28.0,160.0,41.0,254.0,37.0
,,50232,0,0,0,0,0,3,1.8,,0,Jonjo,0.0,321,False,,,55.2,50232.jpg,4.0,Shelvey,0.8,False,,a,14,4,105,0,0,0,0,0.0,19.1,Shelvey,2118,6,2,8,34,0,0,0,3,0,0,15,437,559.4,597.4,344.0,150.4,87.0,28.0,31.0,25.0,97.0,52.0,59.0,35.0
50.0,,56983,0,0,0,0,0,3,0.7,,0,Matt,0.0,322,False,Unknown - 50% chance of playing,2020-09-06T00:30:15.421530Z,50.599999999999994,56983.jpg,4.1,Ritchie,0.5,False,,d,14,4,74,0,0,0,0,0.0,14.8,Ritchie,1312,2,1,8,19,0,0,1,4,0,0,7,293,285.4,482.7,218.0,98.6,214.0,89.0,52.0,40.0,156.0,86.0,138.0,73.0
,,57145,0,0,0,0,0,2,2.1,,0,Federico,0.0,323,False,,,50.99999999999999,57145.jpg,3.2,Fernández,1.5,False,,a,14,4,102,0,0,0,0,0.0,20.4,Fernández,2617,2,3,8,42,1,0,0,8,0,0,13,507,741.0,74.5,223.0,103.7,40.0,14.0,249.0,80.0,153.0,30.0,126.0,33.0
25.0,,58845,0,0,0,0,0,2,0.4,,0,Ciaran,0.0,324,False,Lack of match fitness - 25% chance of playing,2020-09-06T00:30:15.435017Z,45.70000000000001,58845.jpg,3.5,Clark,0.2,False,,d,14,4,49,0,0,0,0,0.0,10.9,Clark,1186,2,0,4,14,0,0,0,3,0,0,2,216,331.4,14.9,128.0,47.6,191.0,73.0,329.0,123.0,214.0,58.0,266.0,89.0
,,59735,0,0,0,0,0,1,2.5,,0,Karl,0.0,325,False,,,50.699999999999996,59735.jpg,0.0,Darlow,0.3,False,,a,14,4,0,0,0,0,0,0.0,0.0,Darlow,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,452.0,51.0,446.0,45.0,439.0,41.0,452.0,51.0
0.0,,67089,0,0,0,0,0,1,0.0,,0,Martin,0.0,326,False,Heel Injury - Unknown return date,2020-08-27T11:00:09.134616Z,50.99999999999999,67089.jpg,3.8,Dubravka,1.3,False,,i,14,4,143,0,0,0,0,0.0,28.6,Dubravka,3420,0,0,11,58,0,0,0,0,0,139,7,719,1019.0,0.0,0.0,102.0,5.0,1.0,449.0,46.0,442.0,42.0,131.0,1.0
,,77359,0,0,0,0,0,2,1.6,,0,Florian,0.0,327,False,,,45.3,77359.jpg,4.0,Lejeune,0.1,False,,a,14,4,24,0,0,0,0,0.0,5.3,Lejeune,440,2,0,1,10,0,0,0,0,0,0,1,88,132.0,12.6,81.0,22.5,299.0,114.0,331.0,124.0,254.0,81.0,313.0,111.0
100.0,,101148,0,0,0,0,0,2,1.6,,0,Jamaal,0.0,328,False,,2020-08-15T10:00:11.876642Z,45.699999999999996,101148.jpg,3.0,Lascelles,2.8,False,,a,14,4,73,0,0,0,0,0.0,16.2,Lascelles,2076,1,0,8,31,0,0,0,5,0,0,3,358,403.0,28.1,125.0,55.7,161.0,57.0,312.0,114.0,217.0,60.0,240.0,76.0
